County,Category,year,type,Prop,Proportion
Elgeyo Marakwet,OPV3,2022,Vaccination,Proportion (2022),74.3
Elgeyo Marakwet,OPV3,2022,Vaccination,Percentage change,-28.3
Elgeyo Marakwet,FULL_VACCINATION,2022,Vaccination,Proportion (2022),43.2
Elgeyo Marakwet,FULL_VACCINATION,2022,Vaccination,Percentage change,-97.2
Nandi,BCG,2022,Vaccination,Proportion (2022),100
Nandi,BCG,2022,Vaccination,Percentage change,0.6
Nandi,DPT1,2022,Vaccination,Proportion (2022),100
Nandi,DPT1,2022,Vaccination,Percentage change,0
Nandi,DPT2,2022,Vaccination,Proportion (2022),96.4
Nandi,DPT2,2022,Vaccination,Percentage change,-3.7
Nandi,DPT3,2022,Vaccination,Proportion (2022),95.8
Nandi,DPT3,2022,Vaccination,Percentage change,-3.8
Nandi,OPV,2022,Vaccination,Proportion (2022),100
Nandi,OPV,2022,Vaccination,Percentage change,30.9
Nandi,OPV1,2022,Vaccination,Proportion (2022),100
Nandi,OPV1,2022,Vaccination,Percentage change,0
Nandi,OPV2,2022,Vaccination,Proportion (2022),99.5
Nandi,OPV2,2022,Vaccination,Percentage change,-0.5
Nandi,OPV3,2022,Vaccination,Proportion (2022),87.9
Nandi,OPV3,2022,Vaccination,Percentage change,-13.1
Nandi,FULL_VACCINATION,2022,Vaccination,Proportion (2022),65
Nandi,FULL_VACCINATION,2022,Vaccination,Percentage change,-48.2
Baringo,BCG,2022,Vaccination,Proportion (2022),98.3
Baringo,BCG,2022,Vaccination,Percentage change,-1.7
Baringo,DPT1,2022,Vaccination,Proportion (2022),98
Baringo,DPT1,2022,Vaccination,Percentage change,-2
Baringo,DPT2,2022,Vaccination,Proportion (2022),98
Baringo,DPT2,2022,Vaccination,Percentage change,-0.3
Baringo,DPT3,2022,Vaccination,Proportion (2022),96.2
Baringo,DPT3,2022,Vaccination,Percentage change,1.8
Baringo,OPV,2022,Vaccination,Proportion (2022),76.6
Baringo,OPV,2022,Vaccination,Percentage change,21
Baringo,OPV1,2022,Vaccination,Proportion (2022),98
Baringo,OPV1,2022,Vaccination,Percentage change,-2
Baringo,OPV2,2022,Vaccination,Proportion (2022),98
Baringo,OPV2,2022,Vaccination,Percentage change,-1
Baringo,OPV3,2022,Vaccination,Proportion (2022),82.8
Baringo,OPV3,2022,Vaccination,Percentage change,-13.6
Baringo,FULL_VACCINATION,2022,Vaccination,Proportion (2022),43.3
Baringo,FULL_VACCINATION,2022,Vaccination,Percentage change,-60.3
Laikipia,BCG,2022,Vaccination,Proportion (2022),93.9
Laikipia,BCG,2022,Vaccination,Percentage change,-5.1
Laikipia,DPT1,2022,Vaccination,Proportion (2022),97.1
Laikipia,DPT1,2022,Vaccination,Percentage change,-1.6
Laikipia,DPT2,2022,Vaccination,Proportion (2022),97.1
Laikipia,DPT2,2022,Vaccination,Percentage change,-1.6
Laikipia,DPT3,2022,Vaccination,Proportion (2022),91.9
Laikipia,DPT3,2022,Vaccination,Percentage change,2.4
Laikipia,OPV,2022,Vaccination,Proportion (2022),88.2
Laikipia,OPV,2022,Vaccination,Percentage change,18.4
Laikipia,OPV1,2022,Vaccination,Proportion (2022),97.1
Laikipia,OPV1,2022,Vaccination,Percentage change,-1.6
Laikipia,OPV2,2022,Vaccination,Proportion (2022),95.3
Laikipia,OPV2,2022,Vaccination,Percentage change,-1
Laikipia,OPV3,2022,Vaccination,Proportion (2022),76.9
Laikipia,OPV3,2022,Vaccination,Percentage change,-18.5
Laikipia,FULL_VACCINATION,2022,Vaccination,Proportion (2022),55.5
Laikipia,FULL_VACCINATION,2022,Vaccination,Percentage change,-42.9
Nakuru,BCG,2022,Vaccination,Proportion (2022),99.1
Nakuru,BCG,2022,Vaccination,Percentage change,1.9
Nakuru,DPT1,2022,Vaccination,Proportion (2022),99.1
Nakuru,DPT1,2022,Vaccination,Percentage change,1.2
Nakuru,DPT2,2022,Vaccination,Proportion (2022),99.1
Nakuru,DPT2,2022,Vaccination,Percentage change,3
Nakuru,DPT3,2022,Vaccination,Proportion (2022),99.1
Nakuru,DPT3,2022,Vaccination,Percentage change,8.3
Nakuru,OPV,2022,Vaccination,Proportion (2022),92.9
Nakuru,OPV,2022,Vaccination,Percentage change,19.7
Nakuru,OPV1,2022,Vaccination,Proportion (2022),99.1
Nakuru,OPV1,2022,Vaccination,Percentage change,1.2
Nakuru,OPV2,2022,Vaccination,Proportion (2022),99.1
Nakuru,OPV2,2022,Vaccination,Percentage change,4
Nakuru,OPV3,2022,Vaccination,Proportion (2022),91.1
Nakuru,OPV3,2022,Vaccination,Percentage change,0.8
Nakuru,FULL_VACCINATION,2022,Vaccination,Proportion (2022),69.2
Nakuru,FULL_VACCINATION,2022,Vaccination,Percentage change,-7.9
Narok,BCG,2022,Vaccination,Proportion (2022),98.7
Narok,BCG,2022,Vaccination,Percentage change,3.7
Narok,DPT1,2022,Vaccination,Proportion (2022),97.5
Narok,DPT1,2022,Vaccination,Percentage change,1.2
Narok,DPT2,2022,Vaccination,Proportion (2022),97.5
Narok,DPT2,2022,Vaccination,Percentage change,6.5
Narok,DPT3,2022,Vaccination,Proportion (2022),90.8
Narok,DPT3,2022,Vaccination,Percentage change,8.6
Narok,OPV,2022,Vaccination,Proportion (2022),53.9
Narok,OPV,2022,Vaccination,Percentage change,30.2
Narok,OPV1,2022,Vaccination,Proportion (2022),97
Narok,OPV1,2022,Vaccination,Percentage change,-1.4
Narok,OPV2,2022,Vaccination,Proportion (2022),94.2
Narok,OPV2,2022,Vaccination,Percentage change,-0.8
Narok,OPV3,2022,Vaccination,Proportion (2022),75.9
Narok,OPV3,2022,Vaccination,Percentage change,-8.2
Narok,FULL_VACCINATION,2022,Vaccination,Proportion (2022),30.8
Narok,FULL_VACCINATION,2022,Vaccination,Percentage change,-89.9
Kajiado,BCG,2022,Vaccination,Proportion (2022),96.9
Kajiado,BCG,2022,Vaccination,Percentage change,-0.8
Kajiado,DPT1,2022,Vaccination,Proportion (2022),91.9
Kajiado,DPT1,2022,Vaccination,Percentage change,-5.5
Kajiado,DPT2,2022,Vaccination,Proportion (2022),85.6
Kajiado,DPT2,2022,Vaccination,Percentage change,-7.9
Kajiado,DPT3,2022,Vaccination,Proportion (2022),73.6
Kajiado,DPT3,2022,Vaccination,Percentage change,-7.5
Kajiado,OPV,2022,Vaccination,Proportion (2022),81.4
Kajiado,OPV,2022,Vaccination,Percentage change,36.2
Kajiado,OPV1,2022,Vaccination,Proportion (2022),96.9
Kajiado,OPV1,2022,Vaccination,Percentage change,0.7
Kajiado,OPV2,2022,Vaccination,Proportion (2022),88.9
Kajiado,OPV2,2022,Vaccination,Percentage change,1.5
Kajiado,OPV3,2022,Vaccination,Proportion (2022),71
Kajiado,OPV3,2022,Vaccination,Percentage change,3.5
Kajiado,FULL_VACCINATION,2022,Vaccination,Proportion (2022),43.5
Kajiado,FULL_VACCINATION,2022,Vaccination,Percentage change,-29.7
Kericho,BCG,2022,Vaccination,Proportion (2022),94.1
Kericho,BCG,2022,Vaccination,Percentage change,-6.3
Kericho,DPT1,2022,Vaccination,Proportion (2022),95.4
Kericho,DPT1,2022,Vaccination,Percentage change,-4.8
Kericho,DPT2,2022,Vaccination,Proportion (2022),95.4
Kericho,DPT2,2022,Vaccination,Percentage change,-4.8
Kericho,DPT3,2022,Vaccination,Proportion (2022),93
Kericho,DPT3,2022,Vaccination,Percentage change,-2.9
Kericho,OPV,2022,Vaccination,Proportion (2022),82.4
Kericho,OPV,2022,Vaccination,Percentage change,1.7
Kericho,OPV1,2022,Vaccination,Proportion (2022),95.4
Kericho,OPV1,2022,Vaccination,Percentage change,-4.8
Kericho,OPV2,2022,Vaccination,Proportion (2022),94.3
Kericho,OPV2,2022,Vaccination,Percentage change,-6
Kericho,OPV3,2022,Vaccination,Proportion (2022),71.6
Kericho,OPV3,2022,Vaccination,Percentage change,-29.9
Kericho,FULL_VACCINATION,2022,Vaccination,Proportion (2022),47.6
Kericho,FULL_VACCINATION,2022,Vaccination,Percentage change,-50.8
Bomet,BCG,2022,Vaccination,Proportion (2022),98.5
Bomet,BCG,2022,Vaccination,Percentage change,-1.5
Bomet,DPT1,2022,Vaccination,Proportion (2022),98.5
Bomet,DPT1,2022,Vaccination,Percentage change,-1.5
Bomet,DPT2,2022,Vaccination,Proportion (2022),95.7
Bomet,DPT2,2022,Vaccination,Percentage change,-3.7
Bomet,DPT3,2022,Vaccination,Proportion (2022),89.8
Bomet,DPT3,2022,Vaccination,Percentage change,-9.1
Bomet,OPV,2022,Vaccination,Proportion (2022),87.7
Bomet,OPV,2022,Vaccination,Percentage change,28.8
Bomet,OPV1,2022,Vaccination,Proportion (2022),98.5
Bomet,OPV1,2022,Vaccination,Percentage change,-1.5
Bomet,OPV2,2022,Vaccination,Proportion (2022),98.5
Bomet,OPV2,2022,Vaccination,Percentage change,-1.5
Bomet,OPV3,2022,Vaccination,Proportion (2022),91.2
Bomet,OPV3,2022,Vaccination,Percentage change,-4.8
Bomet,FULL_VACCINATION,2022,Vaccination,Proportion (2022),63.9
Bomet,FULL_VACCINATION,2022,Vaccination,Percentage change,-27.2
Kakamega,BCG,2022,Vaccination,Proportion (2022),100
Kakamega,BCG,2022,Vaccination,Percentage change,5.1
Kakamega,DPT1,2022,Vaccination,Proportion (2022),100
Kakamega,DPT1,2022,Vaccination,Percentage change,1.1
Kakamega,DPT2,2022,Vaccination,Proportion (2022),100
Kakamega,DPT2,2022,Vaccination,Percentage change,5.1
Kakamega,DPT3,2022,Vaccination,Proportion (2022),97.1
Kakamega,DPT3,2022,Vaccination,Percentage change,7.8
Kakamega,OPV,2022,Vaccination,Proportion (2022),93.2
Kakamega,OPV,2022,Vaccination,Percentage change,53.4
Kakamega,OPV1,2022,Vaccination,Proportion (2022),99.6
Kakamega,OPV1,2022,Vaccination,Percentage change,0.7
Kakamega,OPV2,2022,Vaccination,Proportion (2022),98.2
Kakamega,OPV2,2022,Vaccination,Percentage change,3.4
Kakamega,OPV3,2022,Vaccination,Proportion (2022),91.8
Kakamega,OPV3,2022,Vaccination,Percentage change,2.5
Kakamega,FULL_VACCINATION,2022,Vaccination,Proportion (2022),72.8
Kakamega,FULL_VACCINATION,2022,Vaccination,Percentage change,-0.4
Vihiga,BCG,2022,Vaccination,Proportion (2022),100
Vihiga,BCG,2022,Vaccination,Percentage change,1.7
Vihiga,DPT1,2022,Vaccination,Proportion (2022),100
Vihiga,DPT1,2022,Vaccination,Percentage change,1.7
Vihiga,DPT2,2022,Vaccination,Proportion (2022),100
Vihiga,DPT2,2022,Vaccination,Percentage change,1.7
Vihiga,DPT3,2022,Vaccination,Proportion (2022),95.9
Vihiga,DPT3,2022,Vaccination,Percentage change,-1.1
Vihiga,OPV,2022,Vaccination,Proportion (2022),93.6
Vihiga,OPV,2022,Vaccination,Percentage change,19.9
Vihiga,OPV1,2022,Vaccination,Proportion (2022),100
Vihiga,OPV1,2022,Vaccination,Percentage change,1.7
Vihiga,OPV2,2022,Vaccination,Proportion (2022),100
Vihiga,OPV2,2022,Vaccination,Percentage change,1.7
Vihiga,OPV3,2022,Vaccination,Proportion (2022),88.6
Vihiga,OPV3,2022,Vaccination,Percentage change,-6.5
Vihiga,FULL_VACCINATION,2022,Vaccination,Proportion (2022),70.1
Vihiga,FULL_VACCINATION,2022,Vaccination,Percentage change,-34.7
Bungoma,BCG,2022,Vaccination,Proportion (2022),100
Bungoma,BCG,2022,Vaccination,Percentage change,4.7
Bungoma,DPT1,2022,Vaccination,Proportion (2022),98.7
Bungoma,DPT1,2022,Vaccination,Percentage change,3.7
Bungoma,DPT2,2022,Vaccination,Proportion (2022),97.3
Bungoma,DPT2,2022,Vaccination,Percentage change,2.4
Bungoma,DPT3,2022,Vaccination,Proportion (2022),97.3
Bungoma,DPT3,2022,Vaccination,Percentage change,8.6
Bungoma,OPV,2022,Vaccination,Proportion (2022),82.9
Bungoma,OPV,2022,Vaccination,Percentage change,38.1
Bungoma,OPV1,2022,Vaccination,Proportion (2022),97.7
Bungoma,OPV1,2022,Vaccination,Percentage change,1.5
Bungoma,OPV2,2022,Vaccination,Proportion (2022),97.7
Bungoma,OPV2,2022,Vaccination,Percentage change,2
Bungoma,OPV3,2022,Vaccination,Proportion (2022),89.3
Bungoma,OPV3,2022,Vaccination,Percentage change,-1.3
Bungoma,FULL_VACCINATION,2022,Vaccination,Proportion (2022),65.9
Bungoma,FULL_VACCINATION,2022,Vaccination,Percentage change,-15.2
Busia,BCG,2022,Vaccination,Proportion (2022),98.2
Busia,BCG,2022,Vaccination,Percentage change,0.2
Busia,DPT1,2022,Vaccination,Proportion (2022),100
Busia,DPT1,2022,Vaccination,Percentage change,3.1
Busia,DPT2,2022,Vaccination,Proportion (2022),100
Busia,DPT2,2022,Vaccination,Percentage change,4.7
Busia,DPT3,2022,Vaccination,Proportion (2022),96.5
Busia,DPT3,2022,Vaccination,Percentage change,6.3
Busia,OPV,2022,Vaccination,Proportion (2022),89.5
Busia,OPV,2022,Vaccination,Percentage change,39.6
Busia,OPV1,2022,Vaccination,Proportion (2022),100
Busia,OPV1,2022,Vaccination,Percentage change,0
Busia,OPV2,2022,Vaccination,Proportion (2022),97.3
Busia,OPV2,2022,Vaccination,Percentage change,-1.1
Busia,OPV3,2022,Vaccination,Proportion (2022),73.4
Busia,OPV3,2022,Vaccination,Percentage change,-28.2
Busia,FULL_VACCINATION,2022,Vaccination,Proportion (2022),55.8
Busia,FULL_VACCINATION,2022,Vaccination,Percentage change,-44.1
Siaya,BCG,2022,Vaccination,Proportion (2022),99.3
Siaya,BCG,2022,Vaccination,Percentage change,0.9
Siaya,DPT1,2022,Vaccination,Proportion (2022),99.3
Siaya,DPT1,2022,Vaccination,Percentage change,-0.7
Siaya,DPT2,2022,Vaccination,Proportion (2022),97.5
Siaya,DPT2,2022,Vaccination,Percentage change,-2.6
Siaya,DPT3,2022,Vaccination,Proportion (2022),93.9
Siaya,DPT3,2022,Vaccination,Percentage change,0
Siaya,OPV,2022,Vaccination,Proportion (2022),95.1
Siaya,OPV,2022,Vaccination,Percentage change,17.4
Siaya,OPV1,2022,Vaccination,Proportion (2022),99.3
Siaya,OPV1,2022,Vaccination,Percentage change,-0.7
Siaya,OPV2,2022,Vaccination,Proportion (2022),95.6
Siaya,OPV2,2022,Vaccination,Percentage change,-4.6
Siaya,OPV3,2022,Vaccination,Proportion (2022),84.4
Siaya,OPV3,2022,Vaccination,Percentage change,-8.9
Siaya,FULL_VACCINATION,2022,Vaccination,Proportion (2022),69.9
Siaya,FULL_VACCINATION,2022,Vaccination,Percentage change,-11.6
Kisumu,BCG,2022,Vaccination,Proportion (2022),97.7
Kisumu,BCG,2022,Vaccination,Percentage change,0.5
Kisumu,DPT1,2022,Vaccination,Proportion (2022),100
Kisumu,DPT1,2022,Vaccination,Percentage change,2.4
Kisumu,DPT2,2022,Vaccination,Proportion (2022),87.6
Kisumu,DPT2,2022,Vaccination,Percentage change,-11.4
Kisumu,DPT3,2022,Vaccination,Proportion (2022),87.6
Kisumu,DPT3,2022,Vaccination,Percentage change,0.7
Kisumu,OPV,2022,Vaccination,Proportion (2022),91.4
Kisumu,OPV,2022,Vaccination,Percentage change,16.5
Kisumu,OPV1,2022,Vaccination,Proportion (2022),98.7
Kisumu,OPV1,2022,Vaccination,Percentage change,1.1
Kisumu,OPV2,2022,Vaccination,Proportion (2022),98.7
Kisumu,OPV2,2022,Vaccination,Percentage change,2.3
Kisumu,OPV3,2022,Vaccination,Proportion (2022),85.2
Kisumu,OPV3,2022,Vaccination,Percentage change,-2.9
Kisumu,FULL_VACCINATION,2022,Vaccination,Proportion (2022),62.6
Kisumu,FULL_VACCINATION,2022,Vaccination,Percentage change,-26
Homa Bay,BCG,2022,Vaccination,Proportion (2022),98.3
Homa Bay,BCG,2022,Vaccination,Percentage change,3.9
Homa Bay,DPT1,2022,Vaccination,Proportion (2022),97.5
Homa Bay,DPT1,2022,Vaccination,Percentage change,-0.4
Homa Bay,DPT2,2022,Vaccination,Proportion (2022),94.7
Homa Bay,DPT2,2022,Vaccination,Percentage change,-2.6
Homa Bay,DPT3,2022,Vaccination,Proportion (2022),86.2
Homa Bay,DPT3,2022,Vaccination,Percentage change,4.5
Homa Bay,OPV,2022,Vaccination,Proportion (2022),94.1
Homa Bay,OPV,2022,Vaccination,Percentage change,31.1
Homa Bay,OPV1,2022,Vaccination,Proportion (2022),97.6
Homa Bay,OPV1,2022,Vaccination,Percentage change,-0.3
Homa Bay,OPV2,2022,Vaccination,Proportion (2022),91.4
Homa Bay,OPV2,2022,Vaccination,Percentage change,-4.3
Homa Bay,OPV3,2022,Vaccination,Proportion (2022),74.8
Homa Bay,OPV3,2022,Vaccination,Percentage change,-13.2
Homa Bay,FULL_VACCINATION,2022,Vaccination,Proportion (2022),52.6
Homa Bay,FULL_VACCINATION,2022,Vaccination,Percentage change,-22.4
Migori,BCG,2022,Vaccination,Proportion (2022),99.6
Migori,BCG,2022,Vaccination,Percentage change,12
Migori,DPT1,2022,Vaccination,Proportion (2022),99.6
Migori,DPT1,2022,Vaccination,Percentage change,0
Migori,DPT2,2022,Vaccination,Proportion (2022),98.3
Migori,DPT2,2022,Vaccination,Percentage change,0.6
Migori,DPT3,2022,Vaccination,Proportion (2022),91.3
Migori,DPT3,2022,Vaccination,Percentage change,1.5
Migori,OPV,2022,Vaccination,Proportion (2022),91.8
Migori,OPV,2022,Vaccination,Percentage change,56.5
Migori,OPV1,2022,Vaccination,Proportion (2022),98
Migori,OPV1,2022,Vaccination,Percentage change,-0.9
Migori,OPV2,2022,Vaccination,Proportion (2022),95.7
Migori,OPV2,2022,Vaccination,Percentage change,-1.3
Migori,OPV3,2022,Vaccination,Proportion (2022),84.9
Migori,OPV3,2022,Vaccination,Percentage change,-8.8
Migori,FULL_VACCINATION,2022,Vaccination,Proportion (2022),71.4
Migori,FULL_VACCINATION,2022,Vaccination,Percentage change,19.9
Kisii,BCG,2022,Vaccination,Proportion (2022),99.1
Kisii,BCG,2022,Vaccination,Percentage change,-0.9
Kisii,DPT1,2022,Vaccination,Proportion (2022),99.1
Kisii,DPT1,2022,Vaccination,Percentage change,1.3
Kisii,DPT2,2022,Vaccination,Proportion (2022),95.7
Kisii,DPT2,2022,Vaccination,Percentage change,-2.2
Kisii,DPT3,2022,Vaccination,Proportion (2022),95.7
Kisii,DPT3,2022,Vaccination,Percentage change,0.4
Kisii,OPV,2022,Vaccination,Proportion (2022),98.5
Kisii,OPV,2022,Vaccination,Percentage change,8.1
Kisii,OPV1,2022,Vaccination,Proportion (2022),99.1
Kisii,OPV1,2022,Vaccination,Percentage change,0
Kisii,OPV2,2022,Vaccination,Proportion (2022),95.6
Kisii,OPV2,2022,Vaccination,Percentage change,-3.7
Kisii,OPV3,2022,Vaccination,Proportion (2022),88.5
Kisii,OPV3,2022,Vaccination,Percentage change,-9.8
Kisii,FULL_VACCINATION,2022,Vaccination,Proportion (2022),81.6
Kisii,FULL_VACCINATION,2022,Vaccination,Percentage change,-0.7
Nyamira,BCG,2022,Vaccination,Proportion (2022),100
Nyamira,BCG,2022,Vaccination,Percentage change,1
Nyamira,DPT1,2022,Vaccination,Proportion (2022),100
Nyamira,DPT1,2022,Vaccination,Percentage change,1
Nyamira,DPT2,2022,Vaccination,Proportion (2022),96
Nyamira,DPT2,2022,Vaccination,Percentage change,-3.1
Nyamira,DPT3,2022,Vaccination,Proportion (2022),95.5
Nyamira,DPT3,2022,Vaccination,Percentage change,-2.2
Nyamira,OPV,2022,Vaccination,Proportion (2022),94.8
Nyamira,OPV,2022,Vaccination,Percentage change,7.2
Nyamira,OPV1,2022,Vaccination,Proportion (2022),97.4
Nyamira,OPV1,2022,Vaccination,Percentage change,-2.7
Nyamira,OPV2,2022,Vaccination,Proportion (2022),94.8
Nyamira,OPV2,2022,Vaccination,Percentage change,-5.5
Nyamira,OPV3,2022,Vaccination,Proportion (2022),88.8
Nyamira,OPV3,2022,Vaccination,Percentage change,-9.2
Nyamira,FULL_VACCINATION,2022,Vaccination,Proportion (2022),55.8
Nyamira,FULL_VACCINATION,2022,Vaccination,Percentage change,-65.1
Nairobi,BCG,2022,Vaccination,Proportion (2022),96.8
Nairobi,BCG,2022,Vaccination,Percentage change,-0.8
Nairobi,DPT1,2022,Vaccination,Proportion (2022),97.4
Nairobi,DPT1,2022,Vaccination,Percentage change,0.1
Nairobi,DPT2,2022,Vaccination,Proportion (2022),93.4
Nairobi,DPT2,2022,Vaccination,Percentage change,-0.2
Nairobi,DPT3,2022,Vaccination,Proportion (2022),87.7
Nairobi,DPT3,2022,Vaccination,Percentage change,-0.3
Nairobi,OPV,2022,Vaccination,Proportion (2022),93.4
Nairobi,OPV,2022,Vaccination,Percentage change,23.6
Nairobi,OPV1,2022,Vaccination,Proportion (2022),95.3
Nairobi,OPV1,2022,Vaccination,Percentage change,-3.1
Nairobi,OPV2,2022,Vaccination,Proportion (2022),95.3
Nairobi,OPV2,2022,Vaccination,Percentage change,-1.7
Nairobi,OPV3,2022,Vaccination,Proportion (2022),67.8
Nairobi,OPV3,2022,Vaccination,Percentage change,-34.7
Nairobi,FULL_VACCINATION,2022,Vaccination,Proportion (2022),45.8
Nairobi,FULL_VACCINATION,2022,Vaccination,Percentage change,-62.4
